TransactionID,Date,MobileModel,Brand,Price,UnitsSold,TotalRevenue,CustomerAge,CustomerGender,Location,PaymentMethod,Year,Month,Quarter,MonthName,CalculatedRevenue,AgeGroup,PriceRange,Cluster
79397f68-61ed-4ea8-bcb2-f918d4e6c05b,2024-01-06,direction,Green Inc,1196.95,85,101740.75,32,Female,Port Erik,Online,2024,1,1,Jan,101740.75,26-35,900-1200,0
4f87d114-f522-4ead-93e3-f336402df6aa,2024-04-05,right,Thomas-Thompson,1010.34,64,64661.76,55,Female,East Linda,Credit Card,2024,4,2,Apr,64661.76,46-55,900-1200,0
6750b7d6-dcc5-48c5-a76a-b6fc9d540fe1,2024-02-13,summer,Sanchez-Williams,400.8,95,38076.0,57,Male,East Angelicastad,Online,2024,2,1,Feb,38076.0,56-65,300-600,2
7da7de95-f772-4cc2-bce0-b0873f98233e,2024-04-17,keep,Greer and Sons,338.6,79,26749.4,46,Other,East Kevin,Cash,2024,4,2,Apr,26749.4,46-55,300-600,2
469044af-0d60-4d87-af66-c6603e844057,2024-06-02,option,Brown and Sons,839.79,41,34431.39,38,Male,New Lindaborough,Online,2024,6,2,Jun,34431.39,36-45,600-900,3
f7e98db9-cb87-453e-8179-e48ba5443932,2024-03-07,idea,"Massey, Nicholson and Young",1498.13,70,104869.1,45,Female,Port Daryl,Debit Card,2024,3,1,Mar,104869.1,36-45,> 1200,0
61f1c03f-5527-49bf-88f6-0d8694e72d41,2024-07-13,southern,Coleman-Pena,975.77,63,61473.51,23,Other,Kathrynborough,Online,2024,7,3,Jul,61473.51,18-25,900-1200,3
55d74ccb-e3c0-4ceb-a102-6d553736b944,2024-03-18,top,"Brock, Cruz and Santiago",530.7,79,41925.3,26,Female,Kyleborough,Online,2024,3,1,Mar,41925.3,26-35,300-600,1
889bd479-e06a-494d-baae-e099bea5469c,2024-04-12,anything,"Griffin, Boyle and Dawson",178.52,58,10354.16,20,Female,Jacquelinestad,Debit Card,2024,4,2,Apr,10354.16,18-25,< 300,1
567c276b-fec4-47e4-b5be-71f2b79bd745,2024-04-19,wall,"Arroyo, Jones and Clayton",774.79,92,71280.68,33,Male,South Jessicachester,Online,2024,4,2,Apr,71280.68,26-35,600-900,3
f7d25e75-e7e6-4b61-8879-63121787a1dd,2024-07-13,happen,"Carlson, Mcdonald and Hatfield",806.59,22,17744.98,41,Other,Allisonview,Cash,2024,7,3,Jul,17744.98,36-45,600-900,2
c28cafd9-08a6-4a72-8a89-b05d82993315,2024-02-18,very,Mckenzie LLC,317.64,21,6670.44,62,Female,Samanthafurt,Debit Card,2024,2,1,Feb,6670.44,56-65,300-600,2
1a9dfe22-c8d8-4872-8cb3-1e7d37c492a9,2024-01-27,nothing,Cross Inc,1460.22,49,71550.78,37,Other,West Amy,Online,2024,1,1,Jan,71550.78,36-45,> 1200,0
